customer_id,service_type,Hora_Llegada,Hora_Atencion,Hora_Salida,Tiempo_Servicio,Tiempo_Entre_Llegadas
37,Cajas generales,10:27,10:27,10:35,00:08,1
38,Cajas generales,10:29,10:29,10:34,00:05,2
39,Cajas generales,10:31,10:31,10:45,00:14,2
40,Cajas generales,10:40,10:40,10:44,00:04,9
41,Caja preferencial,10:40,10:40,10:51,00:11,0
42,Cajas generales,10:41,10:41,10:45,00:04,1
43,Cajas generales,10:50,10:50,11:02,00:12,9
44,Cajas generales,10:53,10:53,11:00,00:07,3
45,Caja preferencial,10:59,10:59,11:06,00:07,6
46,Atención al cliente,11:00,11:00,11:07,00:07,1
47,Cajas generales,11:00,11:00,11:08,00:08,0
48,Caja preferencial,11:01,11:01,11:11,00:10,1
49,Cajas generales,11:03,11:03,11:07,00:04,2
50,Atención al cliente,11:06,11:06,11:12,00:06,3
51,Cajas generales,11:16,11:16,11:26,00:10,10
52,Cajas generales,11:16,11:16,11:23,00:07,0
53,Cajas generales,11:17,11:17,11:30,00:13,1
54,Cajero automático,11:17,11:17,11:26,00:09,0
55,Cajas generales,11:18,11:18,11:25,00:07,1
56,Cajero automático,11:18,11:18,11:27,00:09,0
57,Cajas generales,11:18,11:18,11:31,00:13,0
58,Atención al cliente,11:21,11:21,11:24,00:03,3
59,Atención al cliente,11:22,11:22,11:28,00:06,1
60,Cajas generales,11:23,11:23,11:30,00:07,1
61,Caja preferencial,11:24,11:24,11:34,00:10,1
62,Cajas generales,11:24,11:24,11:28,00:04,0
63,Cajas generales,11:25,11:25,11:36,00:11,1
64,Cajero automático,11:27,11:27,11:30,00:03,2
65,Cajas generales,11:29,11:29,11:33,00:04,2
66,Cajas generales,11:30,11:30,11:41,00:11,1
67,Cajero automático,11:31,11:31,11:43,00:12,1
68,Caja preferencial,11:33,11:33,11:36,00:03,2
69,Atención al cliente,11:35,11:35,11:47,00:12,2
70,Cajero automático,11:38,11:38,11:41,00:03,3
71,Cajas generales,11:43,11:43,11:51,00:08,5
72,Cajas generales,11:45,11:45,11:49,00:04,2
73,Cajas generales,11:46,11:46,11:50,00:04,1
74,Atención al cliente,11:47,11:47,11:53,00:06,1
75,Cajas generales,11:50,11:50,12:00,00:10,3
76,Cajas generales,11:55,11:55,12:05,00:10,5
77,Cajas generales,12:00,12:00,12:06,00:06,5
78,Cajas generales,12:01,12:01,12:04,00:03,1
79,Atención al cliente,12:03,12:03,12:16,00:13,2
80,Cajas generales,12:04,12:04,12:14,00:10,1
81,Cajas generales,12:04,12:04,12:17,00:13,0
82,Cajas generales,12:07,12:07,12:21,00:14,3
83,Cajas generales,12:08,12:08,12:15,00:07,1
84,Cajas generales,12:08,12:08,12:13,00:05,0
85,Cajero automático,12:09,12:09,12:12,00:03,1
86,Atención al cliente,12:13,12:13,12:22,00:09,4
87,Cajas generales,12:15,12:15,12:20,00:05,2
88,Cajas generales,12:20,12:20,12:32,00:12,5
89,Cajas generales,12:21,12:21,12:26,00:05,1
90,Cajas generales,12:25,12:25,12:37,00:12,4
91,Cajas generales,12:26,12:26,12:31,00:05,1
92,Cajas generales,12:26,12:26,12:35,00:09,0
93,Cajas generales,12:27,12:27,12:36,00:09,1
94,Cajas generales,12:28,12:28,12:41,00:13,1
95,Atención al cliente,12:34,12:34,12:38,00:04,6
96,Caja preferencial,12:35,12:35,12:46,00:11,1
97,Cajero automático,12:36,12:36,12:49,00:13,1
98,Atención al cliente,12:36,12:36,12:39,00:03,0
99,Atención al cliente,12:37,12:37,12:42,00:05,1
100,Cajas generales,12:39,12:39,12:41,00:02,2
101,Atención al cliente,12:42,12:42,12:45,00:03,3
102,Cajas generales,12:47,12:47,13:01,00:14,5
103,Cajas generales,12:48,12:48,12:52,00:04,1
104,Cajero automático,13:00,13:00,13:05,00:05,12
105,Cajas generales,13:03,13:03,13:08,00:05,3
106,Cajas generales,13:04,13:04,13:18,00:14,1
107,Cajas generales,13:04,13:04,13:15,00:11,0
108,Cajas generales,13:05,13:05,13:18,00:13,1
109,Atención al cliente,13:05,13:05,13:15,00:10,0
110,Caja preferencial,13:07,13:07,13:17,00:10,2
111,Atención al cliente,13:11,13:11,13:19,00:08,4
112,Cajas generales,13:13,13:13,13:27,00:14,2
113,Cajas generales,13:15,13:15,13:27,00:12,2
114,Cajas generales,13:22,13:22,13:33,00:11,7
115,Cajas generales,13:22,13:22,13:37,00:15,0
116,Caja preferencial,13:22,13:22,13:37,00:15,0
117,Cajas generales,13:24,13:24,13:37,00:13,2
118,Caja preferencial,13:31,13:31,13:36,00:05,7
119,Cajas generales,13:32,13:32,13:39,00:07,1
120,Cajero automático,13:34,13:34,13:38,00:04,2
121,Cajas generales,13:38,13:38,13:41,00:03,4
122,Atención al cliente,13:40,13:40,13:47,00:07,2
123,Cajas generales,13:45,13:45,13:57,00:12,5
124,Caja preferencial,13:46,13:46,13:53,00:07,1
125,Cajas generales,13:47,13:47,13:56,00:09,1
126,Cajas generales,13:51,13:51,13:57,00:06,4
127,Cajas generales,13:52,13:52,13:55,00:03,1
128,Cajas generales,13:52,13:52,14:03,00:11,0
129,Cajas generales,13:54,13:54,13:58,00:04,2
130,Cajero automático,13:54,13:54,13:58,00:04,0
131,Cajas generales,13:56,13:56,14:00,00:04,2
132,Cajas generales,14:00,14:00,14:06,00:06,4
133,Cajero automático,14:02,14:02,14:06,00:04,2
134,Cajas generales,14:05,14:05,14:14,00:09,3
135,Cajas generales,14:07,14:07,14:20,00:13,2
136,Atención al cliente,14:12,14:12,14:22,00:10,5
137,Caja preferencial,14:13,14:13,14:18,00:05,1
138,Cajas generales,14:17,14:17,14:30,00:13,4
139,Cajas generales,14:18,14:18,14:25,00:07,1
140,Atención al cliente,14:23,14:23,14:30,00:07,5
141,Cajas generales,14:24,14:24,14:32,00:08,1
142,Cajero automático,14:24,14:24,14:32,00:08,0
143,Cajero automático,14:28,14:28,14:37,00:09,4
144,Atención al cliente,14:31,14:31,14:38,00:07,3
145,Cajas generales,14:31,14:31,14:38,00:07,0
146,Cajas generales,14:32,14:32,14:46,00:14,1
147,Cajas generales,14:42,14:42,14:47,00:05,10
148,Cajero automático,14:43,14:43,14:51,00:08,1
149,Cajas generales,14:45,14:45,14:59,00:14,2
150,Cajas generales,14:46,14:46,14:51,00:05,1
151,Atención al cliente,14:49,14:49,15:00,00:11,3
152,Cajero automático,14:56,14:56,15:06,00:10,7
153,Cajas generales,14:56,14:56,15:04,00:08,0
154,Cajas generales,14:57,14:57,15:01,00:04,1
155,Cajas generales,15:00,15:00,15:11,00:11,3
156,Cajero automático,15:01,15:01,15:14,00:13,1
157,Cajas generales,15:05,15:05,15:11,00:06,4
158,Cajero automático,15:06,15:06,15:10,00:04,1
159,Cajas generales,15:06,15:06,15:15,00:09,0
160,Atención al cliente,15:08,15:08,15:19,00:11,2
161,Cajas generales,15:08,15:08,15:19,00:11,0
162,Cajero automático,15:10,15:10,15:20,00:10,2
163,Cajas generales,15:11,15:11,15:14,00:03,1
164,Cajero automático,15:11,15:11,15:24,00:13,0
165,Cajas generales,15:12,15:12,15:25,00:13,1
166,Cajero automático,15:22,15:22,15:31,00:09,10
167,Atención al cliente,15:24,15:24,15:33,00:09,2
168,Cajas generales,15:27,15:27,15:37,00:10,3
169,Cajero automático,15:28,15:28,15:42,00:14,1
170,Cajas generales,15:29,15:29,15:37,00:08,1
171,Cajas generales,15:33,15:33,15:43,00:10,4
172,Atención al cliente,15:36,15:36,15:42,00:06,3
173,Cajero automático,15:36,15:36,15:45,00:09,0
174,Cajas generales,15:37,15:37,15:41,00:04,1
175,Cajas generales,15:43,15:43,15:47,00:04,6
176,Cajas generales,15:46,15:46,15:53,00:07,3
177,Cajas generales,15:49,15:49,16:00,00:11,3
178,Cajas generales,15:57,15:57,16:04,00:07,8
179,Cajero automático,15:58,15:58,16:02,00:04,1
180,Cajas generales,15:59,15:59,16:11,00:12,1
181,Atención al cliente,16:04,16:04,16:07,00:03,5
182,Cajero automático,16:07,16:07,16:16,00:09,3
183,Cajas generales,16:14,16:14,16:20,00:06,7
184,Cajas generales,16:18,16:18,16:25,00:07,4
185,Cajas generales,16:18,16:18,16:21,00:03,0
186,Atención al cliente,16:20,16:20,16:23,00:03,2
187,Cajas generales,16:21,16:21,16:32,00:11,1
188,Cajas generales,16:25,16:25,16:29,00:04,4
189,Cajas generales,16:27,16:27,16:32,00:05,2
190,Cajas generales,16:30,16:30,16:38,00:08,3
191,Cajas generales,16:36,16:36,16:47,00:11,6
192,Cajas generales,16:42,16:42,16:44,00:02,6
193,Cajas generales,16:44,16:44,16:56,00:12,2
194,Cajas generales,16:51,16:51,16:58,00:07,7
195,Cajas generales,16:58,16:58,17:04,00:06,7
196,Cajas generales,16:59,16:59,17:12,00:13,1
197,Cajas generales,17:00,17:00,17:05,00:05,1
198,Cajas generales,17:01,17:01,17:14,00:13,1
199,Cajas generales,17:03,17:03,17:05,00:02,2
200,Atención al cliente,17:04,17:04,17:10,00:06,1
