customer_id,service_type,Hora_Llegada,Hora_Atencion,Hora_Salida,Tiempo_Servicio,Tiempo_Entre_Llegadas
127,Atención al cliente,14:04:17,14:04:17,14:18:17,14,1.82
128,Cajas generales,14:07:40,14:07:40,14:15:40,8,3.39
129,Cajero automático,14:13:48,14:13:48,14:18:48,5,6.12
130,Cajas generales,14:15:04,14:15:04,14:23:04,8,1.27
131,Cajas generales,14:18:57,14:18:57,14:24:57,6,3.88
132,Cajero automático,14:18:58,14:18:58,14:21:58,3,0.02
133,Cajas generales,14:19:49,14:19:49,14:22:49,3,0.85
134,Cajas generales,14:20:26,14:20:26,14:24:26,4,0.62
135,Cajas generales,14:21:35,14:21:35,14:30:35,9,1.15
136,Cajas generales,14:27:07,14:27:07,14:38:07,11,5.53
137,Cajas generales,14:28:19,14:28:19,14:40:19,12,1.2
138,Cajero automático,14:30:46,14:30:46,14:44:46,14,2.46
139,Cajero automático,14:32:19,14:32:19,14:34:19,2,1.55
140,Cajas generales,14:32:40,14:32:40,14:40:40,8,0.35
141,Cajas generales,14:34:03,14:34:03,14:44:03,10,1.38
142,Cajas generales,14:34:04,14:34:04,14:43:04,9,0.01
143,Cajas generales,14:35:22,14:35:22,14:40:22,5,1.31
144,Cajero automático,14:36:19,14:36:19,14:39:19,3,0.95
145,Cajero automático,14:37:16,14:37:16,14:45:16,8,0.95
146,Cajas generales,14:40:00,14:40:00,14:45:00,5,2.73
147,Cajero automático,14:42:55,14:42:55,14:48:55,6,2.91
148,Atención al cliente,14:45:58,14:45:58,14:50:58,5,3.05
149,Cajas generales,14:47:13,14:47:13,14:50:13,3,1.26
150,Cajas generales,14:48:22,14:48:22,15:00:22,12,1.14
151,Cajas generales,14:51:42,14:51:42,14:56:42,5,3.34
152,Cajas generales,14:51:42,14:51:42,15:00:42,9,0.0
153,Cajas generales,14:52:30,14:52:30,14:59:30,7,0.8
154,Atención al cliente,14:59:30,14:59:30,15:12:30,13,6.99
155,Atención al cliente,15:01:58,15:01:58,15:15:58,14,2.47
156,Cajas generales,15:07:21,15:07:21,15:14:21,7,5.39
157,Atención al cliente,15:10:54,15:10:54,15:20:54,10,3.55
158,Atención al cliente,15:12:21,15:12:21,15:19:21,7,1.45
159,Cajas generales,15:13:18,15:13:18,15:23:18,10,0.94
160,Cajas generales,15:19:36,15:19:36,15:33:36,14,6.31
161,Cajero automático,15:21:21,15:21:21,15:33:21,12,1.74
162,Cajero automático,15:21:42,15:21:42,15:32:42,11,0.35
163,Cajas generales,15:22:19,15:22:19,15:31:19,9,0.62
164,Atención al cliente,15:22:31,15:22:31,15:31:31,9,0.21
165,Cajas generales,15:22:40,15:22:40,15:24:40,2,0.14
166,Cajas generales,15:25:40,15:25:40,15:32:40,7,3.0
167,Atención al cliente,15:32:43,15:32:43,15:40:43,8,7.05
168,Cajas generales,15:37:15,15:37:15,15:44:15,7,4.54
169,Caja preferencial,15:40:01,15:40:01,15:54:01,14,2.76
170,Atención al cliente,15:40:52,15:40:52,15:51:52,11,0.86
171,Cajas generales,15:48:18,15:48:18,16:02:18,14,7.42
172,Cajero automático,15:49:19,15:49:19,16:03:19,14,1.02
173,Atención al cliente,15:49:34,15:49:34,15:57:34,8,0.26
174,Atención al cliente,15:50:09,15:50:09,16:01:09,11,0.58
175,Atención al cliente,15:50:35,15:50:35,15:57:35,7,0.43
176,Atención al cliente,15:52:28,15:52:28,15:59:28,7,1.89
177,Cajero automático,16:03:18,16:03:18,16:08:18,5,10.82
178,Cajas generales,16:04:28,16:04:28,16:17:28,13,1.17
179,Cajas generales,16:08:37,16:08:37,16:13:37,5,4.16
180,Cajas generales,16:13:07,16:13:07,16:17:07,4,4.49
181,Atención al cliente,16:17:22,16:17:22,16:23:22,6,4.26
182,Cajas generales,16:23:57,16:23:57,16:27:57,4,6.57
183,Cajas generales,16:25:07,16:25:07,16:33:07,8,1.17
184,Cajas generales,16:29:57,16:29:57,16:40:57,11,4.83
185,Cajas generales,16:31:40,16:31:40,16:39:40,8,1.72
186,Atención al cliente,16:32:45,16:32:45,16:43:45,11,1.08
187,Cajas generales,16:38:51,16:38:51,16:45:51,7,6.11
188,Cajas generales,16:46:48,16:46:48,16:50:48,4,7.94
189,Atención al cliente,16:50:48,16:50:48,16:58:48,8,4.0
190,Cajas generales,16:51:15,16:51:15,17:03:15,12,0.45
191,Caja preferencial,16:51:19,16:51:19,16:54:19,3,0.08
192,Cajas generales,16:51:37,16:51:37,16:56:37,5,0.29
193,Cajas generales,17:00:35,17:00:35,17:08:35,8,8.97
194,Caja preferencial,17:02:20,17:02:20,17:12:20,10,1.75
195,Cajero automático,17:05:27,17:05:27,17:14:27,9,3.11
196,Caja preferencial,17:07:27,17:07:27,17:13:27,6,2.0
197,Cajero automático,17:11:30,17:11:30,17:24:30,13,4.05
198,Cajas generales,17:13:26,17:13:26,17:18:26,5,1.94
199,Cajas generales,17:13:45,17:13:45,17:24:45,11,0.32
200,Cajas generales,17:14:40,17:14:40,17:21:40,7,0.91
